Tech node (nm), Capacity (bytes), Number of banks, Associativity, Output width (bits), Access time (ns), Random cycle time (ns), Dynamic search energy (nJ), Dynamic read energy (nJ), Dynamic write energy (nJ), Standby leakage per bank(mW), Area (mm2), Ndwl, Ndbl, Nspd, Ndcm, Ndsam_level_1, Ndsam_level_2, Data arrary area efficiency %, Ntwl, Ntbl, Ntspd, Ntcm, Ntsam_level_1, Ntsam_level_2, Tag arrary area efficiency %, 
45, 65536, 1, 1, 32, 2.97288, 4.58029, N/A, 0.143186, 0.137499, 98.0507, 0.614661, 8, 2, 64, 1, 8, 4, 57.1293, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 2.97288, 4.58029, N/A, 0.143186, 0.137499, 98.0507, 0.614661, 8, 2, 0.25, 1, 8, 4, 57.1293, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 2, 32, 0.764947, 0.587485, N/A, 0.023545, 0.0151386, 103.018, 0.435488, 2, 4, 0.015625, 16, 2, 1, 80.634, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.649401, 0.466822, N/A, 0.0180461, 0.0114122, 84.1918, 0.222622, 2, 4, 0.03125, 32, 1, 1, 78.3306, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 128, 0.53438, 0.91519, N/A, 0.0384217, 0.0333929, 76.7883, 0.212119, 2, 2, 0.0625, 16, 1, 1, 82.2094, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 512, 0.615627, 0.605889, N/A, 0.0475378, 0.158574, 84.1725, 0.2305, 2, 2, 0.03125, 2, 1, 1, 75.6534, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.649401, 0.466822, N/A, 0.0180461, 0.0114122, 84.1918, 0.222622, 2, 4, 0.03125, 32, 1, 1, 78.3306, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.03125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 0.125, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 2, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 32, 0.764343, 0.587485, N/A, 0.0234275, 0.0151021, 103.203, 0.43719, 2, 4, 16, 32, 1, 1, 80.3201, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 65536, 1, 1, 16, 0.860325, 0.501682, N/A, 0.0164862, 0.010947, 104.826, 0.469925, 2, 8, 16, 64, 1, 1, 74.7251, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
45, 128, 1, 1, 32, 0.165182, 0.141613, N/A, 0.000683701, 0.000925317, 0.259873, 0.00149898, 2, 2, 1, 2, 1, 1, 45.754, N/A, N/A, N/A, N/A, N/A, N/A, N/A, 
